"Woche","Altersklasse","Inzidenz pro 100'000","Meta","Type","Content"
2020-07-13,"10 - 19 Jahre","630.17",NA,NA,NA
2020-07-20,"10 - 19 Jahre","370.22",NA,NA,NA
2020-07-27,"10 - 19 Jahre","362.35",NA,NA,NA
2020-08-03,"10 - 19 Jahre","393.86",NA,NA,NA
2020-08-10,"10 - 19 Jahre","456.87",NA,NA,NA
2020-08-17,"10 - 19 Jahre","567.15",NA,NA,NA
2020-08-24,"10 - 19 Jahre","976.76",NA,NA,NA
2020-08-31,"10 - 19 Jahre","1213.08",NA,NA,NA
2020-09-07,"10 - 19 Jahre","1433.64",NA,NA,NA
2020-09-14,"10 - 19 Jahre","1528.16",NA,NA,NA
2020-09-21,"10 - 19 Jahre","1134.3",NA,NA,NA
2020-09-28,"10 - 19 Jahre","1213.08",NA,NA,NA
2020-10-05,"10 - 19 Jahre","1173.69",NA,NA,NA
2020-10-12,"10 - 19 Jahre","1803.86",NA,NA,NA
2020-10-19,"10 - 19 Jahre","2489.17",NA,NA,NA
2020-10-26,"10 - 19 Jahre","2386.77",NA,NA,NA
2020-11-02,"10 - 19 Jahre","2599.45",NA,NA,NA
2020-11-09,"10 - 19 Jahre","2229.22",NA,NA,NA
2020-11-16,"10 - 19 Jahre","1772.35",NA,NA,NA
2020-11-23,"10 - 19 Jahre","1622.69",NA,NA,NA
2020-11-30,"10 - 19 Jahre","1859",NA,NA,NA
2020-12-07,"10 - 19 Jahre","2008.66",NA,NA,NA
2020-12-14,"10 - 19 Jahre","385.98",NA,NA,NA
2020-05-25,"20 - 29 Jahre","238.34",NA,NA,NA
2020-06-01,"20 - 29 Jahre","96.83",NA,NA,NA
2020-06-08,"20 - 29 Jahre","476.69",NA,NA,NA
2020-06-15,"20 - 29 Jahre","491.58",NA,NA,NA
2020-06-22,"20 - 29 Jahre","1057.65",NA,NA,NA
2020-06-29,"20 - 29 Jahre","1943.99",NA,NA,NA
2020-07-06,"20 - 29 Jahre","1042.75",NA,NA,NA
2020-07-13,"20 - 29 Jahre","990.62",NA,NA,NA
2020-07-20,"20 - 29 Jahre","1087.44",NA,NA,NA
2020-07-27,"20 - 29 Jahre","916.13",NA,NA,NA
2020-08-03,"20 - 29 Jahre","804.41",NA,NA,NA
2020-08-10,"20 - 29 Jahre","767.17",NA,NA,NA
2020-08-17,"20 - 29 Jahre","1094.89",NA,NA,NA
2020-08-24,"20 - 29 Jahre","1310.89",NA,NA,NA
2020-08-31,"20 - 29 Jahre","1467.3",NA,NA,NA
2020-09-07,"20 - 29 Jahre","1549.23",NA,NA,NA
2020-09-14,"20 - 29 Jahre","1281.1",NA,NA,NA
2020-09-21,"20 - 29 Jahre","1169.37",NA,NA,NA
2020-09-28,"20 - 29 Jahre","1646.06",NA,NA,NA
2020-10-05,"20 - 29 Jahre","2659.02",NA,NA,NA
2020-10-12,"20 - 29 Jahre","3515.57",NA,NA,NA
2020-10-19,"20 - 29 Jahre","3999.7",NA,NA,NA
2020-10-26,"20 - 29 Jahre","3560.26",NA,NA,NA
2020-11-02,"20 - 29 Jahre","3202.74",NA,NA,NA
2020-11-09,"20 - 29 Jahre","2718.61",NA,NA,NA
2020-11-16,"20 - 29 Jahre","3046.33",NA,NA,NA
2020-11-23,"20 - 29 Jahre","3023.98",NA,NA,NA
2020-11-30,"20 - 29 Jahre","2413.23",NA,NA,NA
2020-12-07,"20 - 29 Jahre","2994.19",NA,NA,NA
2020-12-14,"20 - 29 Jahre","491.58",NA,NA,NA
2020-05-25,"30 - 39 Jahre","201.27",NA,NA,NA
2020-06-01,"30 - 39 Jahre","217.59",NA,NA,NA
2020-06-08,"30 - 39 Jahre","500.46",NA,NA,NA
2020-06-15,"30 - 39 Jahre","701.74",NA,NA,NA
2020-06-22,"30 - 39 Jahre","614.7",NA,NA,NA
2020-06-29,"30 - 39 Jahre","995.48",NA,NA,NA
2020-07-06,"30 - 39 Jahre","854.05",NA,NA,NA
2020-07-13,"30 - 39 Jahre","908.45",NA,NA,NA
2020-07-20,"30 - 39 Jahre","1049.88",NA,NA,NA
2020-07-27,"30 - 39 Jahre","636.46",NA,NA,NA
2020-08-03,"30 - 39 Jahre","641.9",NA,NA,NA
2020-08-10,"30 - 39 Jahre","707.18",NA,NA,NA
2020-08-17,"30 - 39 Jahre","794.21",NA,NA,NA
2020-08-24,"30 - 39 Jahre","1011.8",NA,NA,NA
2020-08-31,"30 - 39 Jahre","1544.91",NA,NA,NA
2020-09-07,"30 - 39 Jahre","1267.48",NA,NA,NA
2020-09-14,"30 - 39 Jahre","1196.76",NA,NA,NA
2020-09-21,"30 - 39 Jahre","794.21",NA,NA,NA
2020-09-28,"30 - 39 Jahre","1294.67",NA,NA,NA
2020-10-05,"30 - 39 Jahre","1822.34",NA,NA,NA
2020-10-12,"30 - 39 Jahre","2284.72",NA,NA,NA
2020-10-19,"30 - 39 Jahre","2932.06",NA,NA,NA
2020-10-26,"30 - 39 Jahre","2932.06",NA,NA,NA
2020-11-02,"30 - 39 Jahre","2817.82",NA,NA,NA
2020-11-09,"30 - 39 Jahre","2246.64",NA,NA,NA
2020-11-16,"30 - 39 Jahre","2388.08",NA,NA,NA
2020-11-23,"30 - 39 Jahre","2507.75",NA,NA,NA
2020-11-30,"30 - 39 Jahre","2534.95",NA,NA,NA
2020-12-07,"30 - 39 Jahre","3024.53",NA,NA,NA
2020-12-14,"30 - 39 Jahre","522.22",NA,NA,NA
2020-05-25,"40 - 49 Jahre","221.49",NA,NA,NA
2020-06-01,"40 - 49 Jahre","267.85",NA,NA,NA
2020-06-08,"40 - 49 Jahre","484.19",NA,NA,NA
2020-06-15,"40 - 49 Jahre","674.77",NA,NA,NA
2020-06-22,"40 - 49 Jahre","525.39",NA,NA,NA
2020-06-29,"40 - 49 Jahre","808.69",NA,NA,NA
2020-07-06,"40 - 49 Jahre","679.92",NA,NA,NA
2020-07-13,"40 - 49 Jahre","618.11",NA,NA,NA
2020-07-20,"40 - 49 Jahre","798.39",NA,NA,NA
2020-07-27,"40 - 49 Jahre","571.75",NA,NA,NA
2020-08-03,"40 - 49 Jahre","417.22",NA,NA,NA
2020-08-10,"40 - 49 Jahre","479.04",NA,NA,NA
2020-08-17,"40 - 49 Jahre","525.39",NA,NA,NA
2020-08-24,"40 - 49 Jahre","803.54",NA,NA,NA
2020-08-31,"40 - 49 Jahre","1153.81",NA,NA,NA
2020-09-07,"40 - 49 Jahre","1014.73",NA,NA,NA
2020-09-14,"40 - 49 Jahre","973.52",NA,NA,NA
2020-09-21,"40 - 49 Jahre","855.05",NA,NA,NA
2020-09-28,"40 - 49 Jahre","1117.75",NA,NA,NA
2020-10-05,"40 - 49 Jahre","1334.09",NA,NA,NA
2020-10-12,"40 - 49 Jahre","1828.58",NA,NA,NA
2020-10-19,"40 - 49 Jahre","2441.54",NA,NA,NA
2020-10-26,"40 - 49 Jahre","2307.61",NA,NA,NA
2020-11-02,"40 - 49 Jahre","2307.61",NA,NA,NA
2020-11-09,"40 - 49 Jahre","1792.52",NA,NA,NA
2020-11-16,"40 - 49 Jahre","1699.8",NA,NA,NA
2020-11-23,"40 - 49 Jahre","1936.75",NA,NA,NA
2020-11-30,"40 - 49 Jahre","2307.61",NA,NA,NA
2020-12-07,"40 - 49 Jahre","2436.39",NA,NA,NA
2020-12-14,"40 - 49 Jahre","437.83",NA,NA,NA
2020-05-25,"50 - 59 Jahre","153.8",NA,NA,NA
2020-06-01,"50 - 59 Jahre","134.58",NA,NA,NA
2020-06-08,"50 - 59 Jahre","297.99",NA,NA,NA
2020-06-15,"50 - 59 Jahre","374.89",NA,NA,NA
2020-06-22,"50 - 59 Jahre","365.28",NA,NA,NA
2020-06-29,"50 - 59 Jahre","461.41",NA,NA,NA
2020-07-06,"50 - 59 Jahre","509.47",NA,NA,NA
2020-07-13,"50 - 59 Jahre","528.69",NA,NA,NA
2020-07-20,"50 - 59 Jahre","720.95",NA,NA,NA
2020-07-27,"50 - 59 Jahre","446.99",NA,NA,NA
2020-08-03,"50 - 59 Jahre","389.31",NA,NA,NA
2020-08-10,"50 - 59 Jahre","384.5",NA,NA,NA
2020-08-17,"50 - 59 Jahre","552.73",NA,NA,NA
2020-08-24,"50 - 59 Jahre","519.08",NA,NA,NA
2020-08-31,"50 - 59 Jahre","764.2",NA,NA,NA
2020-09-07,"50 - 59 Jahre","740.17",NA,NA,NA
2020-09-14,"50 - 59 Jahre","600.79",NA,NA,NA
2020-09-21,"50 - 59 Jahre","653.66",NA,NA,NA
2020-09-28,"50 - 59 Jahre","701.72",NA,NA,NA
2020-10-05,"50 - 59 Jahre","1158.32",NA,NA,NA
2020-10-12,"50 - 59 Jahre","1614.92",NA,NA,NA
2020-10-19,"50 - 59 Jahre","2311.83",NA,NA,NA
2020-10-26,"50 - 59 Jahre","2302.22",NA,NA,NA
2020-11-02,"50 - 59 Jahre","1802.36",NA,NA,NA
2020-11-09,"50 - 59 Jahre","1590.89",NA,NA,NA
2020-11-16,"50 - 59 Jahre","1836.01",NA,NA,NA
2020-11-23,"50 - 59 Jahre","1869.65",NA,NA,NA
2020-11-30,"50 - 59 Jahre","2090.74",NA,NA,NA
2020-12-07,"50 - 59 Jahre","2023.45",NA,NA,NA
2020-12-14,"50 - 59 Jahre","350.86",NA,NA,NA
2020-05-25,"60 - 69 Jahre","188.98",NA,NA,NA
2020-06-01,"60 - 69 Jahre","159.91",NA,NA,NA
2020-06-08,"60 - 69 Jahre","261.67",NA,NA,NA
2020-06-15,"60 - 69 Jahre","276.2",NA,NA,NA
2020-06-22,"60 - 69 Jahre","327.08",NA,NA,NA
2020-06-29,"60 - 69 Jahre","392.5",NA,NA,NA
2020-07-06,"60 - 69 Jahre","450.65",NA,NA,NA
2020-07-13,"60 - 69 Jahre","508.79",NA,NA,NA
2020-07-20,"60 - 69 Jahre","516.06",NA,NA,NA
2020-07-27,"60 - 69 Jahre","428.84",NA,NA,NA
2020-08-03,"60 - 69 Jahre","319.81",NA,NA,NA
2020-08-10,"60 - 69 Jahre","348.89",NA,NA,NA
2020-08-17,"60 - 69 Jahre","327.08",NA,NA,NA
2020-08-24,"60 - 69 Jahre","443.38",NA,NA,NA
2020-08-31,"60 - 69 Jahre","457.92",NA,NA,NA
2020-09-07,"60 - 69 Jahre","632.36",NA,NA,NA
2020-09-14,"60 - 69 Jahre","486.99",NA,NA,NA
2020-09-21,"60 - 69 Jahre","486.99",NA,NA,NA
2020-09-28,"60 - 69 Jahre","610.55",NA,NA,NA
2020-10-05,"60 - 69 Jahre","908.56",NA,NA,NA
2020-10-12,"60 - 69 Jahre","1032.13",NA,NA,NA
2020-10-19,"60 - 69 Jahre","1700.83",NA,NA,NA
2020-10-26,"60 - 69 Jahre","1628.14",NA,NA,NA
2020-11-02,"60 - 69 Jahre","1446.43",NA,NA,NA
2020-11-09,"60 - 69 Jahre","1330.14",NA,NA,NA
2020-11-16,"60 - 69 Jahre","1562.73",NA,NA,NA
2020-11-23,"60 - 69 Jahre","1526.38",NA,NA,NA
2020-11-30,"60 - 69 Jahre","1366.48",NA,NA,NA
2020-12-07,"60 - 69 Jahre","1758.98",NA,NA,NA
2020-12-14,"60 - 69 Jahre","261.67",NA,NA,NA
2020-05-25,"70 - 79 Jahre","98.94",NA,NA,NA
2020-06-01,"70 - 79 Jahre","128.62",NA,NA,NA
2020-06-08,"70 - 79 Jahre","128.62",NA,NA,NA
2020-06-15,"70 - 79 Jahre","217.67",NA,NA,NA
2020-06-22,"70 - 79 Jahre","217.67",NA,NA,NA
2020-06-29,"70 - 79 Jahre","366.08",NA,NA,NA
2020-07-06,"70 - 79 Jahre","554.07",NA,NA,NA
2020-07-13,"70 - 79 Jahre","435.34",NA,NA,NA
2020-07-20,"70 - 79 Jahre","257.25",NA,NA,NA
2020-07-27,"70 - 79 Jahre","217.67",NA,NA,NA
2020-08-03,"70 - 79 Jahre","138.52",NA,NA,NA
2020-08-10,"70 - 79 Jahre","187.99",NA,NA,NA
2020-08-17,"70 - 79 Jahre","247.35",NA,NA,NA
2020-08-24,"70 - 79 Jahre","247.35",NA,NA,NA
2020-08-31,"70 - 79 Jahre","277.04",NA,NA,NA
2020-09-07,"70 - 79 Jahre","395.77",NA,NA,NA
2020-09-14,"70 - 79 Jahre","405.66",NA,NA,NA
2020-09-21,"70 - 79 Jahre","415.55",NA,NA,NA
2020-09-28,"70 - 79 Jahre","366.08",NA,NA,NA
2020-10-05,"70 - 79 Jahre","643.12",NA,NA,NA
2020-10-12,"70 - 79 Jahre","682.7",NA,NA,NA
2020-10-19,"70 - 79 Jahre","1088.35",NA,NA,NA
2020-10-26,"70 - 79 Jahre","1078.46",NA,NA,NA
2020-11-02,"70 - 79 Jahre","1088.35",NA,NA,NA
2020-11-09,"70 - 79 Jahre","910.26",NA,NA,NA
2020-11-16,"70 - 79 Jahre","1177.4",NA,NA,NA
2020-11-23,"70 - 79 Jahre","1078.46",NA,NA,NA
2020-11-30,"70 - 79 Jahre","850.9",NA,NA,NA
2020-12-07,"70 - 79 Jahre","1187.3",NA,NA,NA
2020-12-14,"70 - 79 Jahre","207.78",NA,NA,NA
2020-05-25,"80+ Jahre","427.57",NA,NA,NA
2020-06-01,"80+ Jahre","136.82",NA,NA,NA
2020-06-08,"80+ Jahre","205.23",NA,NA,NA
2020-06-15,"80+ Jahre","171.03",NA,NA,NA
2020-06-22,"80+ Jahre","324.95",NA,NA,NA
2020-06-29,"80+ Jahre","342.06",NA,NA,NA
2020-07-06,"80+ Jahre","1436.63",NA,NA,NA
2020-07-13,"80+ Jahre","615.7",NA,NA,NA
2020-07-20,"80+ Jahre","410.47",NA,NA,NA
2020-07-27,"80+ Jahre","342.06",NA,NA,NA
2020-08-03,"80+ Jahre","290.75",NA,NA,NA
2020-08-10,"80+ Jahre","273.64",NA,NA,NA
2020-08-17,"80+ Jahre","222.34",NA,NA,NA
2020-08-24,"80+ Jahre","290.75",NA,NA,NA
2020-08-31,"80+ Jahre","342.06",NA,NA,NA
2020-09-07,"80+ Jahre","530.19",NA,NA,NA
2020-09-14,"80+ Jahre","718.32",NA,NA,NA
2020-09-21,"80+ Jahre","273.64",NA,NA,NA
2020-09-28,"80+ Jahre","427.57",NA,NA,NA
2020-10-05,"80+ Jahre","564.39",NA,NA,NA
2020-10-12,"80+ Jahre","701.21",NA,NA,NA
2020-10-19,"80+ Jahre","1299.81",NA,NA,NA
2020-10-26,"80+ Jahre","1983.92",NA,NA,NA
2020-11-02,"80+ Jahre","1026.17",NA,NA,NA
2020-11-09,"80+ Jahre","1778.69",NA,NA,NA
2020-11-16,"80+ Jahre","1676.07",NA,NA,NA
2020-11-23,"80+ Jahre","1607.66",NA,NA,NA
2020-11-30,"80+ Jahre","2565.42",NA,NA,NA
2020-12-07,"80+ Jahre","1641.87",NA,NA,NA
2020-12-14,"80+ Jahre","256.54",NA,NA,NA
2020-05-25,"Unbekannt",NA,NA,NA,NA
2020-06-01,"Unbekannt",NA,NA,NA,NA
2020-06-08,"Unbekannt",NA,NA,NA,NA
2020-06-15,"Unbekannt",NA,NA,NA,NA
2020-06-22,"Unbekannt",NA,NA,NA,NA
2020-06-29,"Unbekannt",NA,NA,NA,NA
2020-07-06,"Unbekannt",NA,NA,NA,NA
2020-07-13,"Unbekannt",NA,NA,NA,NA
2020-07-20,"Unbekannt",NA,NA,NA,NA
2020-07-27,"Unbekannt",NA,NA,NA,NA
2020-08-03,"Unbekannt",NA,NA,NA,NA
2020-08-10,"Unbekannt",NA,NA,NA,NA
2020-08-17,"Unbekannt",NA,NA,NA,NA
2020-08-24,"Unbekannt",NA,NA,NA,NA
2020-08-31,"Unbekannt",NA,NA,NA,NA
2020-09-07,"Unbekannt",NA,NA,NA,NA
2020-09-14,"Unbekannt",NA,NA,NA,NA
2020-09-21,"Unbekannt",NA,NA,NA,NA
2020-09-28,"Unbekannt",NA,NA,NA,NA
2020-10-05,"Unbekannt",NA,NA,NA,NA
2020-10-12,"Unbekannt",NA,NA,NA,NA
2020-10-19,"Unbekannt",NA,NA,NA,NA
2020-10-26,"Unbekannt",NA,NA,NA,NA
2020-11-02,"Unbekannt",NA,NA,NA,NA
2020-11-09,"Unbekannt",NA,NA,NA,NA
2020-11-16,"Unbekannt",NA,NA,NA,NA
2020-11-23,"Unbekannt",NA,NA,NA,NA
2020-11-30,"Unbekannt",NA,NA,NA,NA
2020-12-07,"Unbekannt",NA,NA,NA,NA
2020-12-14,"Unbekannt",NA,NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,float"
NA,NA,NA,"1","title","Durchgeführte COVID-19-Tests nach Alterskategorien im Zeitverlauf pro 100'000"
NA,NA,NA,"1","subtitle","Datenstand: 15.12.2020"
NA,NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen in der entsprechenden Alterklasse ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Die Anzahl durgeführter Tests ist erst ab dem 25.5.2020 auf kantonaler Ebene verfügbar."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
