"Woche","Geschlecht","Inzidenz pro 100'000","Meta","Type","Content"
2020-09-28,"Unbekannt",NA,NA,NA,NA
2020-10-05,"Unbekannt",NA,NA,NA,NA
2020-10-12,"Unbekannt",NA,NA,NA,NA
2020-10-19,"Unbekannt",NA,NA,NA,NA
2020-10-26,"Unbekannt",NA,NA,NA,NA
2020-11-02,"Unbekannt",NA,NA,NA,NA
2020-11-09,"Unbekannt",NA,NA,NA,NA
2020-11-16,"Unbekannt",NA,NA,NA,NA
2020-11-23,"Unbekannt",NA,NA,NA,NA
2020-11-30,"Unbekannt",NA,NA,NA,NA
2020-12-07,"Unbekannt",NA,NA,NA,NA
2020-12-14,"Unbekannt",NA,NA,NA,NA
2020-12-21,"Unbekannt",NA,NA,NA,NA
2020-12-28,"Unbekannt",NA,NA,NA,NA
2021-01-04,"Unbekannt",NA,NA,NA,NA
2021-01-11,"Unbekannt",NA,NA,NA,NA
2021-01-18,"Unbekannt",NA,NA,NA,NA
2021-01-25,"Unbekannt",NA,NA,NA,NA
2021-02-01,"Unbekannt",NA,NA,NA,NA
2021-02-08,"Unbekannt",NA,NA,NA,NA
2021-02-15,"Unbekannt",NA,NA,NA,NA
2021-02-22,"Unbekannt",NA,NA,NA,NA
2021-03-01,"Unbekannt",NA,NA,NA,NA
2021-03-08,"Unbekannt",NA,NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,float"
NA,NA,NA,"1","title","Durchgeführte COVID-19-Tests nach Geschlecht im Zeitverlauf pro 100'000"
NA,NA,NA,"1","subtitle","Datenstand: 08.03.2021"
NA,NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen im entsprechenden Geschlecht ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Die Anzahl durgeführter Tests ist erst ab dem 25.5.2020 auf kantonaler Ebene verfügbar."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
